"amazon_covid_titles"t	"amazon_covid_starrating"t	"amazon_covid_jobtitles"t	"amazon_covid_location"t	"amazon_covid_reviewdate"t	"amazon_covid_CONS"t	"amazon_covid_PROS"t	"STATE"t	"MONTH"
"11"t	"\"Amazon\""t	"4.0"t	"Current Employee - Area Manager"t	"Elizabethtown, KY"t	"December 4, 2020"t	"Starting out, especially with Covid, is difficult"t	"Great work environment with lots of growth"t	"KY"t	"Dec"
"12"t	"\"Amazonian\""t	"4.0"t	"Current Employee - Virtual Customer Service Representative"t	"Detroit, MI"t	"November 29, 2020"t	"Expected to work over holidays, equipment is restrictive if you want to travel and work, some schedules are long and there is no option to change it without medical reason, once you’re clocked in you’re glued to computer with no time to get up to get water or use restroom without getting in trouble which can be stressful and unhealthy, have been “seasonal” for 7+ months with no sense of job stability"t	"Pays well for what it is, pandemic-proof job, good benefits even for seasonal employees, flexible time off bank, overtime pays well, always trying to create sense of community for employees despite working from home, responsive and caring HR, great position for anyone who wants to work from home or is currently in school like myself, COVID leave is paid"t	"MI"t	"Nov"
"13"t	"\"Great Hourly Remote Position\""t	"4.0"t	"Current Employee - Warehouse Worker"t	"Henderson, NV"t	"November 30, 2020"t	"Not friendly for single parents that need a flexible schedule."t	"You will always have work"t	"NV"t	"Nov"
"14"t	"\"Provider of Work\""t	"2.0"t	"Current Employee - Anonymous Employee"t	"Salt Lake City, UT"t	"November 30, 2020"t	"Do not over commit and expect overnight results or Monetary success. Its a hard job but takes commitment  and COVID is the downfall and hurdle EVERYDAY"t	"its all in the strength and abilities of the individual its a physical hard job."t	"UT"t	"Nov"
"15"t	"\"Amazon Warehouse Worker\""t	"4.0"t	"Current Employee - Fufillment Associate"t	"Portland, OR"t	"November 28, 2020"t	"I'm a picker and they expect us to work like machines, the pick and transition times are hard to achieve, yet you are reminded of them by someone every week. No listening to music so it gets boring and repetitive. Not very lenient with break times, if you continously take too long you will get written up. It's fall time but it seems to constantly be 70 degrees Fahrenheit and they could put a few more fans in to make sure every station gets cooled."t	"nice pay, time off if diagnosed with covid"t	"OR"t	"Nov"
"16"t	"\"ADULTING\""t	"3.0"t	"Current Employee - Crew Memebr"t	"Kent, WA"t	"December 10, 2020"t	"The work can sometimes take a toll on you, as you are standing for at least 9 hours on your feet. The place is also a COVID hotspot, and people are coming down with it just about every week. You can sometimes be lost and not know what you’re doing. I was confused on how the rates for the job worked and asked a good amount of people and still was confused. One of my employees gave me a better understanding of it now but, at first it was difficult to understand."t	"The managers and PAs are nice, my coworkers are also nice. Great benefits, low cost and great coverage. I got a 1 dollar pay raise within my first month of working and they really take covid precautions seriously. Overtime options are easy to get as long as you sign up for notifications. I have only worked for less than 3 months, yet I am eligible for a promotion (to afm)"t	"WA"t	"Dec"
"17"t	"\"Isn't my cup of tea\""t	"3.0"t	"Current Employee - Sortation Associate"t	"Charlotte, NC"t	"December 8, 2020"t	"Constant reminders from management to hurry up, which is basically impossible with the current social distancing measures in place. It’s all about beating an algorithm vs actually doing your job well. Physically demanding, you will often be sore at the end of the day. Hard to get a covid test though they advertise they are available at any time. I’ve been trying for two weeks and the testing person is never at their table."t	"The job pays pretty good money and the people who work there are friendly and nice. They also offer a number of benefits for employees."t	"NC"t	"Dec"
"18"t	"\"if you don't like physical labor then just don't apply to amazon\""t	"4.0"t	"Current Employee - Warehouse Associate"t	"Philadelphia, PA"t	"December 3, 2020"t	"The 20/80 Rule that's fostered, waiting for transfers to open up, and that safety infractions can bar you for life."t	"Okay medical benefits. A lot of the people I work with are nice. The day goes by quickly when its busy."t	"PA"t	"Dec"
"19"t	"\"First Job, not bad\""t	"5.0"t	"Current Employee - Yard Marshall"t	"Florence, NJ"t	"November 18, 2020"t	"The hours can be a bit teaching at first but you get used to it."t	"40 hrs in 4 days is great, and they almost always have OverTime available, decent benefits especially for now-a-days FT gigs.  Their network is huge, so if one building isnt working out then you can transfer to another, also if you enjoying moving to different parts of the country can do that pretty easily too.  It's one of the biggest companys in the world."t	"NJ"t	"Nov"
"20"t	"\"Rating\""t	"4.0"t	"Current Employee - Program Manager II"t	"Chicago, IL"t	"December 1, 2020"t	"Not enough diversity at the senior levels."t	"Company is rock solid and skyrocketing in growth worldwide. The job is important because it deals with employee safety as well as making sure the packages are one time to the customer."t	"IL"t	"Dec"
"21"t	"\"Nice enviornment, nice pay\""t	"3.0"t	"Current Employee - Technical Support Engineer"t	"Boston, MA"t	"October 9, 2020"t	"Rushed products and some shoddy work"t	"It’s great to have a job in covid"t	"MA"t	"Oct"
"22"t	"\"Fine\""t	"4.0"t	"Current Employee - Software Development Engineer I"t	"Pittsburgh, PA"t	"October 20, 2020"t	"Covid means virtual work which hampers getting to know team"t	"Supportive management. Great team and environment. Good work life balance"t	"PA"t	"Oct"
"23"t	"\"Great place to work!\""t	"3.0"t	"Current Employee - Senior Recruitment Manager"t	"Seattle, WA"t	"October 5, 2020"t	"Compensation, culture, leadership, lack of diversity"t	"Big company, stability during pandemic times."t	"WA"t	"Oct"
"24"t	"\"The reviews are valid\""t	"3.0"t	"Current Employee - Amazon Warehouse Worker"t	"Troutdale, OR"t	"November 6, 2020"t	"Pay should be higher for how hard they work you, social distance guidelines are not up to standard and have caused a lot of covid cases"t	"Reliable job, no resume needed to apply and you get hired within 15 minutes online"t	"OR"t	"Nov"
"25"t	"\"Good money for what the job is\""t	"3.0"t	"Current Employee - AV Technician II"t	"Seattle, WA"t	"October 13, 2020"t	"They carrot-and-stick you out several years, so that even when you'd do anything to quit, it feels financially irresponsible. They will get their money's worth out of you. There are no perks. Free coffee and tea in the kitchenette and $100 to spend at a set rate on qualified items on Amazon.com per year, and that's it."t	"If you do good work, Amazon's compensation model makes sure you get paid accordingly. Perfect for type-As who are tired of getting paid the same as coworkers who are performing at a lower level. Also, the benefits/insurance coverage is unbeatable."t	"WA"t	"Oct"
"26"t	"\"Performance-Based Compensation, but They'll Kill You (though your death is probably covered by insurance)\""t	"1.0"t	"Current Employee - Senior Solutions Architect"t	"New York, NY"t	"September 24, 2020"t	"Ton of travel before covid. There is no work life balance. Managers and Leaders are ruthless, heartless monsters. I was given 18 KPIs in addition to customer calls. Blog/Content producing process is arduous, arcane and unprofessional. You keep your mouth shut to survive. Despite what the company says outside, internal processes are ridden with extreme racism."t	"Self directed work. A ton of learning opportunities which is a double edged sword."t	"NY"t	"Sep"
"27"t	"\"Stay away, please. Most brutal workplace ever!!\""t	"3.0"t	"Current Employee - Fulfillment Associate"t	"Robbinsville, NJ"t	"October 7, 2020"t	"-Poductivity is always the #1 priority, above safety especially during peak (Oct.-Dec.) or times of unusually high product volume (covid).
-It is impossible to feel like you matter or have real job security given how replaceable you are. I'm unsure of if this policy is company wide or has changed but i was told when i started that the bottom 5% of employees in terms of productivity are fired on a regular basis."t	"-Good pay for no experience/qualifications 
-Career choice program can give you qualifications"t	"NJ"t	"Oct"
"28"t	"\"Working in an FC will make you feel and operate like a robot until they replace you with one.\""t	"3.0"t	"Current Employee - Inbound Stow"t	"Monee, IL"t	"September 23, 2020"t	"people, over worked, disfunctional, very socially poor work environment"t	"Pay, insurance, food, benefits, leave services, and paid time off"t	"IL"t	"Sep"
"29"t	"\"Its meh\""t	"4.0"t	"Current Employee - Senior Software Engineer"t	"Seattle, WA"t	"October 1, 2020"t	"- Compensation heavily relies on the growth of stock. Base salary is much lower than the majority of other companies but the stock compensates for that. If you like your position and team, it's probably worth resting and vesting for the 4 years
- They take frugality very seriously (being one of the LPs) and this gets a little frustrating at times - you know how well the company is doing and that the funds are there, but you have to justify hard for small work expenses you want compensated (anything under $50 rarely noticed but expenses over $100-150 taken more seriously). Especially during covid when you want to fit out your home office with basic needs (mouse, printer, shredder etc) - you have to buy a cheap mouse for e.g. because a good quality one one get approved. I mostly agree with being frugal, but certain things feel a little unnecessary"t	"- My team is very supportive 
- Flexible work hours, and time management focused on results rather than filling time quotas. 
- Can be self-directed
- Good stock options"t	"WA"t	"Oct"
"30"t	"\"Content\""t	"3.0"t	"Current Employee - ASM- Assistant Store Manager"t	"Denver, CO"t	"October 2, 2020"t	"Pay, took away \"hero pay\" 2 months into Covid-19, favoritism"t	"Exercise, benefits, overtime pay, very diverse workforce, an unimaginable amount of open doors to other job types and positions"t	"CO"t	"Oct"
"31"t	"\"Can't Expect A Higher Pay If You Do Things The Same Way Since Day One\""t	"5.0"t	"Current Employee - FC Associate I"t	"North Haven, CT"t	"September 14, 2020"t	"Pay, took away \"hero pay\" 2 months into Covid-19, favoritism"t	"If you do good work, Amazon's compensation model makes sure you get paid accordingly. Perfect for type-As who are tired of getting paid the same as coworkers who are performing at a lower level. Also, the benefits/insurance coverage is unbeatable."t	"CT"t	"Sep"
"32"t	"\"SDE Intern Amazon Review\""t	"5.0"t	"Current Employee - SDE-intern"t	"Palo Alto, CA"t	"August 25, 2020"t	"It may seem that you're just another ant working."t	"Self directed work. A ton of learning opportunities which is a double edged sword."t	"CA"t	"Aug"
"33"t	"\"Toxic work enviroment\""t	"1.0"t	"Current Employee - Warehouse Associate"t	"Middletown, DE"t	"August 25, 2020"t	"Nothing that I can see apart from working virtually due to COVID."t	"-Good pay for no experience/qualifications 
-Career choice program can give you qualifications"t	"DE"t	"Aug"
"34"t	"\"Not a bad gig!\""t	"4.0"t	"Current Employee - Associate"t	"Burlington, NJ"t	"September 26, 2020"t	"They intend you to be a machine, don't care about employees and do not follow covid-19 safe workplace guidelines."t	"Pay, insurance, food, benefits, leave services, and paid time off"t	"NJ"t	"Sep"
"35"t	"\"Some people seem to just fit in. Lots of other don't.\""t	"3.0"t	"Current Employee - Applied Scientist II"t	"New York, NY"t	"August 20, 2020"t	"Stressful aspect of quotas and constant comparison to other warehouses, relatively unclear guidelines for time off and breaks, going to the bathroom takes away from your quota/time quality (?!)"t	"- My team is very supportive 
- Flexible work hours, and time management focused on results rather than filling time quotas. 
- Can be self-directed
- Good stock options"t	"NY"t	"Aug"
"36"t	"\"Physically laborious\""t	"3.0"t	"Current Employee - Amazon Warehouse Worker"t	"Tucson, AZ"t	"August 26, 2020"t	"Lots of rigid processes and red tape. Pretty disorganized in many ways. Terrible promo process."t	"Exercise, benefits, overtime pay, very diverse workforce, an unimaginable amount of open doors to other job types and positions"t	"AZ"t	"Aug"
"37"t	"\"Good job if you don't mind walking and driving\""t	"4.0"t	"Current Employee - Amazon Delivery Driver"t	"Salem, OR"t	"August 27, 2020"t	"Min. wage and gets slow"t	"Scholarship for career changes; Strict Covid19 policies."t	"OR"t	"Aug"
"38"t	"\"Great Company\""t	"4.0"t	"Current Employee - Ship Dock PA"t	"Braselton, GA"t	"August 7, 2020"t	"-finding public bathrooms because of COVID19"t	"Good projects for SDE Intern"t	"GA"t	"Aug"
"39"t	"\"Beneficial if you can handle the pace\""t	"3.0"t	"Current Employee - Amazon Area Manager"t	"Byhalia, MS"t	"August 12, 2020"t	"The hours are long and you are on your feet on concrete all day/night.  I don’t mind it but it isn’t for everyone"t	"Average salary
No experience
Sign in bonus
Benefits after 6 months"t	"MS"t	"Aug"
"40"t	"\"Cool job if you like to work all the time . Pays good\""t	"1.0"t	"Current Employee - Full Time Associate"t	"Lewisville, TX"t	"August 27, 2020"t	"Warehouse workers that actually strive to do work are few and far between,"t	"People care about each other, fun work, safe and very clean despite covid scares"t	"TX"t	"Aug"
"41"t	"\"Some people seem to just fit in. Lots of other don't.\""t	"5.0"t	"Current Employee - Assistant Manager (MGT)"t	"San Francisco, CA"t	"August 26, 2020"t	"Lots of rigid processes and red tape. Pretty disorganized in many ways. Terrible promo process."t	"This is a great company to work."t	"CA"t	"Aug"
"42"t	"\"Physically laborious\""t	"5.0"t	"Current Employee - Associate"t	"Fontana, CA"t	"August 27, 2020"t	"Min. wage and gets slow"t	"benefits are good make friends"t	"CA"t	"Aug"
"43"t	"\"Good job if you don't mind walking and driving\""t	"4.0"t	"Current Employee - Amazon Associate Tier I"t	"Kenosha, WI"t	"August 7, 2020"t	"-finding public bathrooms because of COVID19"t	"Great Benefits and Great People, they always bring Hope to new Workers and new Hope to Current Workers. I call Amazon The New America! We Let anyone in, like the Statue of Liberty."t	"WI"t	"Aug"
"44"t	"\"Great Company\""t	"2.0"t	"Current Employee - Anonymous Employee"t	"Denver, CO"t	"August 12, 2020"t	"The hours are long and you are on your feet on concrete all day/night.  I don’t mind it but it isn’t for everyone"t	"Regular schedule, but mandatory overtime so not really"t	"CO"t	"Aug"
"45"t	"\"Beneficial if you can handle the pace\""t	"5.0"t	"Current Employee - Warehouse Associate"t	"Hebron, KY"t	"August 27, 2020"t	"Warehouse workers that actually strive to do work are few and far between,"t	"Pays Well and Maintains Safe Workplace"t	"KY"t	"Aug"
"46"t	"\"Cool job if you like to work all the time . Pays good\""t	"1.0"t	"Current Employee - FC Associate I"t	"Pittsburgh, PA"t	"September 16, 2020"t	"The shift assistant there that comes in at pick in stage time is quite rude like Every single day ."t	"Good benefits, time off weekly accruals. Some operations managers are nice as well as ambassadors."t	"PA"t	"Sep"
"47"t	"\"Great\""t	"3.0"t	"Current Employee - Shipper/Receiver"t	"Etna, OH"t	"August 11, 2020"t	"Covid 19 has made the company more popular due to the Research and Development rendered by Amazon"t	"The pay is good and lots of ways to move up after a year working at tier 1"t	"OH"t	"Aug"
"48"t	"\"Good place\""t	"4.0"t	"Current Employee - Packer"t	"Chino, CA"t	"August 8, 2020"t	"should pay more during covid 19. Risking getting the virus left and right."t	"Pay is $15 + Possible premium for your shift time
Trained (2) days on an mentally easy to understand task
You pick your schedule
Workout
Not hot (A/C or fans)
PEOPLE here help you if you are lost. Super kind associates!!
You get an extra 5 minutes to your break to leave and come back  to your post (warehouse is HUGE)
I’m excited to have work during an epidemic"t	"CA"t	"Aug"
"49"t	"\"There is the Good, the bad, and the Ugly\""t	"5.0"t	"Current Employee - Senior Technical Account Manager"t	"Atlanta, GA"t	"August 8, 2020"t	"Was good until this Covid19 pandemic came out. Too many workers on the market causing a supply and demand curve skew for current workers, which has been making Process assistants and managers more childish than usual, a person can't even do production anymore."t	"I'm working for AWS over a year now, and after few months due to the COVID-19 I had a family emergency. Amazon stood next to me all of that time! My manager helped me to be with my family and on the same time not to lose my job.

They want you to advance your career all the time and there are so many opportunities.

Everyone on Amazon willing to share their knowledge."t	"GA"t	"Aug"
"50"t	"\"Not worth it\""t	"1.0"t	"Current Employee - Stower, Packer, Receiver"t	"Grand Rapids, MI"t	"August 18, 2020"t	"Low pay. Benefits aren't good enough to make up for it. Treated like slaves during Covid"t	"-Keeps you busy
-keeps you active
-has a big break room with free coffee
-workers are nice they are willing to help you if you are lost since the building is so huge
-Work is easily repetitive"t	"MI"t	"Aug"
"51"t	"\"The pay does no justice for the work you do\""t	"1.0"t	"Current Employee - Stower, Packer, Receiver"t	"Columbus, OH"t	"August 15, 2020"t	"-Two short breaks within 10.5 hours of work time
-work is repetitive and can be slow at times
-normal schedules are work 4 days, rest for 3. They will throw in a mandatory week and make you work 10+ days in a row.
-Management/HR does NOT care about their workers. You are just a worker ant they can dispose of anytime they want to and will not address schedule and health concerns.
-Don't work here if you don't have good shoes and aren't used to hard labor. 
-Micro managers keep track of how you do your job and you're either marked as a decent worker or a bad one. People are lucky to be labeled as decent. The rest are fired to let new employees in
-Management just roams throughout the workday. Hard to find if you are in need of help
-Bad food in break room. Be wary about the cold foods. I bought cold pasta and it turned out to be bad.
-I heard amazon gives workers $75 zappos credit to buy shoes but they didn't send my paperwork to zappos to actually make this happen."t	"-Keeps you busy
-keeps you active
-has a big break room with free coffee
-workers are nice they are willing to help you if you are lost since the building is so huge
-Work is easily repetitive"t	"OH"t	"Aug"
"52"t	"\"Steady but Miserable\""t	"5.0"t	"Current Employee - Fulfillment Associate"t	"Troutdale, OR"t	"August 13, 2020"t	"long hours, hot warehouse, repetitive work standing in 1 place, no sitting, mandatory overtime with little notice, difficult to move up in the company, very high expectations, faulty equipment, little if any downtime."t	"Good starting pay, plenty of time off"t	"OR"t	"Aug"
"53"t	"\"Amazon associate\""t	"3.0"t	"Current Employee - Warehouse Associate Picker"t	"Kansas City, KS"t	"July 1, 2020"t	"Physically demanding depending on placement, can be monotonous work."t	"Time off, benefits, pays for education, training on site, remained open during Covid-19 ( locations may vary)"t	"KS"t	"Jul"
"54"t	"\"How are the 12 hr shifts? Do they make it 40 on your paycheck?\""t	"5.0"t	"Current Employee - Warehouse Associate"t	"Seattle, WA"t	"July 19, 2020"t	"I heard they over work you."t	"Good benefits from what I hear and cool pay"t	"WA"t	"Jul"
"55"t	"\"Takes care of IT workers\""t	"5.0"t	"Current Employee - Senior Marketing Producer"t	"Phila, PA"t	"June 24, 2020"t	"Not as many official holidays as other companies
The idea of \"Amazon is a thousand small start-ups\" is not really true - everything is done under the mega Amazon umbrella"t	"Handled COVID really well, went to work from home immediately
Onboarded virtually and have been virtual for my entire tenure so far (4 months)
My team has been very welcoming and understanding when it comes to working long hours and comp'ing that time later
People actually work by the Leadership Principles
The hiring process is the best I have ever been involved in
Customer obsession is a real thing, even if everyone carries it out a bit different"t	"PA"t	"Jun"
"56"t	"\"Great Company\""t	"5.0"t	"Current Employee - Manager II Delivery Operations"t	"Seattle, WA"t	"July 3, 2020"t	"Find the right division so you can truly thrive."t	"Amazon is a company that really cares. The media will have you believe otherwise. Throughout this COVID 19 pandemic, the pivots for hiring and safety has been tangible. My recruiter was amazing and she helped me every step of the way. I left this company for the first time a few years ago, but I am happy to be back and look forward to a long future here."t	"WA"t	"Jul"
"57"t	"\"Passionate individuals who also show compassion\""t	"5.0"t	"Current Employee - Senior Program Manager"t	"Sunnyvale, CA"t	"July 2, 2020"t	"Expectations are high. The team is supportive but you will have to take the initiative to get involved, ask questions, and take ownership very early. Onboarding can be rogue so you'll need to figure it out on your own."t	"It really depends on what team you are on, but I get to work on very innovative products and solve interesting problems. 
There are a lot of processes or frameworks in place that I appreciate because it organizes how we organize our work and priorities. There is little that falls through the cracks. 
Management is really compassionate about COVID and BLM and being very considerate of people's mental health. They are very good about recognizing and rewarding the team."t	"CA"t	"Jul"
"58"t	"\"Best job I've ever had, amazing place to grow\""t	"5.0"t	"Current Employee - Product Design Engineer"t	"Kansas City, KS"t	"June 26, 2020"t	"Apparently The pay isn't as high as Google or Apple? though I'm fine with it. I don't really have any other comparable frame of reference and I can make rent and save for retirement so to me it's fair"t	"There's a real passion here for the work we do that I enjoy immensely, and so much freedom to operate even at the lowest level. My manager (and I understand that I lucked out and not all managers are as good) doesn't micromanage but points me in the right direction so I can exercise my judgement.


My coworkers are all intimidatingly smart and always willing to help, and so are the cross functional teams (PM, TPMS, other system owners). The re's specific structures set up for new engineers to learn and it helps immensely. At my last job I feel like I was not really treated as a human being, but here I operate free of stress even when there's deadlines to meet

The company's also been super accommodating during the pandemic about working from home and enabling us to still be able to function well."t	"KS"t	"Jun"
"59"t	"\"It’s alright\""t	"2.0"t	"Current Employee - FC Associate"t	"Kansas City, KS"t	"June 29, 2020"t	"I was hired as a seasonal full time overnights FC associate. Due to covid, talking with HR about anything is complicated. The environment at amazon is much different than anywhere else I’ve ever worked. Most come in, do their job and leave. No attempts to make friends and will hardly even make eye contact with you when you’re walking by. Not the job for making friends or social butterflies. Things like benefits are not explained, this could be due to covid but it shouldn’t matter. I was never explained how to leave a shift properly if I get sick and need to bail early during a shift even."t	"The pay is very competitive and good. Not sure about benefits yet but I’ve heard they’re good. Dave is giving us all a bonus this month so that’s a huge pro"t	"KS"t	"Jun"
"60"t	"\"they dont care for your safety\""t	"2.0"t	"Current Employee - Delivery Driver"t	"Reston, VA"t	"July 11, 2020"t	"During covid they Make you wear the mask even when you are not around anyone. When temps excess 100° and you are running up 3 story apartments wearing a mask gets dangerous. but if someone on their couch sees you without one they report you and you get in trouble. And they say well its part of the uniform now. I am pro mask, but when no one is around and they see me on a camera and report me and i get in trouble is just mad. This company does not care about your saftey"t	"15-18$ an hour. Mindless work."t	"VA"t	"Jul"
"61"t	"\"Most disorganized company I've ever worked for!\""t	"5.0"t	"Current Employee - Sorter"t	"Houston, TX"t	"July 20, 2020"t	"Everything else:
Bad Management
Bad Employee treatment
Inflexible Hours
Inconsistency
Physically Demanding
Employees = Machines
Standing for 8 hours straight 
Sometimes they forgot to give you the 2nd 15 min breaks
Bad Covid-19 PPE rules and precautions; no changes are made
Cases keeps on piling up without any change/action."t	"You get paid $15 per hour minimum wage hourly
Chances to get overtime with a tap of a button"t	"TX"t	"Jul"
"62"t	"\"Warehouse Conditions\""t	"5.0"t	"Current Employee - Ops Manager"t	"Kansas City, MO"t	"June 19, 2020"t	"Upper management is terrible. Way too many people on a team & people don’t care to come to work."t	"Fast paced, great for starting out managements with great benefits."t	"MO"t	"Jun"
"63"t	"\"Covid\""t	"5.0"t	"Current Employee - Amazon L4 Area Manager"t	"Dallas, TX"t	"May 30, 2020"t	"-the description of the position is not accurate. There are a lot of things that recruiters do not tell you about the position either. This is a do or die type of company. You really need to make sure that you are prepared for very long hours. They say in the description that the hours are 10-12 but they are really 12-14. You will be on your feet all day and you can barely take breaks. Breaks are actually frowned upon. Management expects a lot from you. I once had a partner that was literally a bully and they did nothing about it. Always have a backup job for this position and make sure that you are ready to walk away when ever. Do not let them take advantage of your time. Say no and keep it moving."t	"Everyday is different. This job turns you into a master critical thinker."t	"TX"t	"May"
"64"t	"\"Amazon L4 Area Manager\""t	"5.0"t	"Current Employee - Seasonal Fulfillment Associate"t	"Denver, CO"t	"May 8, 2020"t	"You should be able to have a chair in every station to do this task for 10 long hours"t	"Easy to learn the task that you will do during the day"t	"CO"t	"May"
"65"t	"\"COVID-19 SOLUTION\""t	"2.0"t	"Current Employee - Ramp Agent"t	"Wilmington, OH"t	"April 25, 2020"t	"The hiring process is all over the place but I can only chalk that up to the Covid-19 pandemic  going on right now. I can not speak for times when the pandemic is not occurring  because I do not have experience  with them prior  to the pandemic."t	"Seems  like a great company to work for. They give work boots, and PPE like gloves and a  mask to protect against COVID-19. They also have AI  attached to the security cameras and they can tell when people are not at least six feet away at all times, or they will come down and have a talk with you. They also are checking everyone's temperature and making sure that it follows the CDC guidelines and anyone having a fever of 100.4 F or greater is sent home and not allowed to return until three days after fever has passed.  They also offer medical, paid time off, and  401K."t	"OH"t	"Apr"
"66"t	"\"Amazon Air\""t	"2.0"t	"Current Employee - Finance Manager"t	"Seattle, WA"t	"June 2, 2020"t	"Fast paced can and is usually the discouraging due in part to the excessive churn It creates when there is opportunity to do more. You could be forging ahead on a project or deep into a pricing doc and with no notice Be told the next day it’s going to an executive review for approval BUT everything you’d been working on is deemed wrong and you have to change tact (that beautiful two way door mindset). Overnight you end up working with a team to devise a new metric to meet the expected whims of the executive who will be reviewing it. It has nothing to do with what the original goal or stated deliverable was and more about who it’s meant to impress."t	"Fast paced, mind expanding growth where if you have an idea you can make it a reality. It can be a fun place to work - find the right teams and ones with business partners or PMs that love what they do."t	"WA"t	"Jun"
"67"t	"\"Success is be an owner so your manager doesn’t have to be\""t	"1.0"t	"Current Employee - Picker"t	"Kent, WA"t	"May 20, 2020"t	"They aren't doing well during this pandemic. You have to hit a certain production rate. No one tells you what that is in the beginning. You don't get very much training (not that it's needed) but to know the rate to hit right off the bat would be nice. Also, with having to wear masks it's kind of hard to breathe moving so fast."t	"Pretty easy job. Accrue time off easily."t	"WA"t	"May"
