Source (A),Source (B),Source (C),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
11,12,"Starting out, especially with Covid, is difficult",7,93.26,50.00,89.63,1.00,7.00,42.86,85.71,57.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,14.29,0.00,0.00,28.57,14.29,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,28.57,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,11,"Expected to work over holidays, equipment is restrictive if you want to travel and work, some schedules are long and there is no option to change it without medical reason, once you’re clocked in you’re glued to computer with no time to get up to get water or use restroom without getting in trouble which can be stressful and unhealthy, have been “seasonal” for 7+ months with no sense of job stability",72,72.69,33.83,58.07,2.09,72.00,23.61,91.67,51.39,6.94,4.17,0.00,0.00,4.17,0.00,0.00,2.78,0.00,22.22,12.50,1.39,6.94,6.94,19.44,0.00,0.00,1.39,2.78,1.39,2.78,0.00,2.78,1.39,0.00,0.00,4.17,0.00,0.00,0.00,0.00,16.67,2.78,4.17,4.17,5.56,0.00,5.56,1.39,0.00,0.00,0.00,4.17,0.00,2.78,0.00,1.39,11.11,0.00,2.78,2.78,4.17,1.39,1.39,20.83,1.39,18.06,2.78,6.94,8.33,6.94,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,5.56,0.00,0.00,0.00,0.00,0.00,2.78,2.78,0.00,1.39
13,11,Not friendly for single parents that need a flexible schedule.,10,93.26,50.00,3.37,99.00,10.00,40.00,100.00,40.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,20.00,10.00,0.00,0.00,0.00,0.00,20.00,10.00,10.00,0.00,0.00,20.00,0.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,11,Do not over commit and expect overnight results or Monetary success. Its a hard job but takes commitment  and COVID is the downfall and hurdle EVERYDAY,26,33.48,6.21,17.46,89.84,13.00,26.92,80.77,50.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,3.85,7.69,0.00,19.23,3.85,11.54,3.85,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.77,0.00,3.85,3.85,3.85,11.54,11.54,3.85,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,11.54,0.00,3.85,3.85,7.69,0.00,0.00,15.38,3.85,7.69,0.00,3.85,3.85,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,11,"I'm a picker and they expect us to work like machines, the pick and transition times are hard to achieve, yet you are reminded of them by someone every week. No listening to music so it gets boring and repetitive. Not very lenient with break times, if you continously take too long you will get written up. It's fall time but it seems to constantly be 70 degrees Fahrenheit and they could put a few more fans in to make sure every station gets cooled.",85,45.99,79.49,28.81,25.77,21.25,16.47,85.88,51.76,14.12,9.41,1.18,1.18,3.53,0.00,3.53,4.71,3.53,12.94,8.24,5.88,8.24,2.35,20.00,4.71,2.35,0.00,1.18,4.71,2.35,1.18,1.18,0.00,0.00,0.00,10.59,0.00,0.00,0.00,0.00,14.12,1.18,2.35,3.53,3.53,3.53,3.53,3.53,0.00,2.35,1.18,0.00,0.00,0.00,0.00,0.00,9.41,1.18,2.35,1.18,5.88,0.00,1.18,15.29,2.35,15.29,2.35,3.53,8.24,3.53,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.59,4.71,3.53,0.00,0.00,0.00,0.00,0.00,0.00,2.35,0.00,0.00
16,12,"The work can sometimes take a toll on you, as you are standing for at least 9 hours on your feet. The place is also a COVID hotspot, and people are coming down with it just about every week. You can sometimes be lost and not know what you’re doing. I was confused on how the rates for the job worked and asked a good amount of people and still was confused. One of my employees gave me a better understanding of it now but, at first it was difficult to understand.",92,62.99,80.77,74.76,4.13,18.40,10.87,93.48,60.87,13.04,8.70,3.26,0.00,5.43,0.00,0.00,4.35,8.70,16.30,11.96,6.52,8.70,1.09,18.48,4.35,3.26,2.17,3.26,3.26,6.52,2.17,4.35,2.17,0.00,1.09,9.78,0.00,0.00,0.00,0.00,11.96,3.26,1.09,0.00,4.35,1.09,2.17,0.00,0.00,0.00,0.00,1.09,1.09,0.00,0.00,0.00,10.87,0.00,5.43,2.17,3.26,1.09,7.61,13.04,1.09,16.30,1.09,7.61,7.61,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.78,5.43,3.26,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.00
17,12,"Constant reminders from management to hurry up, which is basically impossible with the current social distancing measures in place. It’s all about beating an algorithm vs actually doing your job well. Physically demanding, you will often be sore at the end of the day. Hard to get a covid test though they advertise they are available at any time. I’ve been trying for two weeks and the testing person is never at their table.",74,76.55,70.57,78.21,51.03,14.80,21.62,90.54,55.41,10.81,8.11,1.35,0.00,2.70,0.00,4.05,2.70,8.11,17.57,12.16,9.46,2.70,1.35,16.22,4.05,0.00,1.35,1.35,2.70,1.35,1.35,0.00,0.00,0.00,0.00,9.46,0.00,0.00,0.00,0.00,12.16,0.00,0.00,1.35,4.05,2.70,4.05,1.35,0.00,0.00,1.35,2.70,0.00,2.70,0.00,0.00,9.46,1.35,1.35,5.41,1.35,0.00,1.35,10.81,1.35,21.62,0.00,9.46,12.16,5.41,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,1.35,0.00,12.16,6.76,2.70,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00
18,12,"The 20/80 Rule that's fostered, waiting for transfers to open up, and that safety infractions can bar you for life.",21,87.62,82.96,37.24,95.81,21.00,19.05,80.95,47.62,14.29,4.76,0.00,0.00,4.76,0.00,0.00,9.52,4.76,19.05,9.52,0.00,4.76,0.00,14.29,0.00,0.00,0.00,9.52,0.00,4.76,4.76,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,4.76,0.00,4.76,14.29,0.00,0.00,9.52,0.00,4.76,0.00,14.29,0.00,19.05,4.76,9.52,4.76,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.81,4.76,9.52,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76
19,11,The hours can be a bit teaching at first but you get used to it.,15,84.62,74.76,82.75,25.77,15.00,6.67,100.00,60.00,13.33,6.67,0.00,0.00,6.67,0.00,0.00,6.67,13.33,13.33,13.33,0.00,6.67,0.00,20.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,13.33,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,6.67,6.67,6.67,0.00,6.67,20.00,0.00,20.00,0.00,6.67,13.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,12,Not enough diversity at the senior levels.,7,99.00,1.00,99.00,25.77,7.00,14.29,71.43,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,42.86,0.00,28.57,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,10,Rushed products and some shoddy work,6,62.04,50.00,23.51,25.77,6.00,16.67,83.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,16.67,16.67,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,10,Covid means virtual work which hampers getting to know team,10,93.26,84.14,43.37,25.77,10.00,30.00,80.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,30.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,10.00,20.00,0.00,10.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,10,"Compensation, culture, leadership, lack of diversity",6,99.00,99.00,1.00,25.77,6.00,66.67,83.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,16.67,16.67,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,11,"Pay should be higher for how hard they work you, social distance guidelines are not up to standard and have caused a lot of covid cases",26,54.88,77.92,5.76,25.77,26.00,11.54,84.62,53.85,7.69,7.69,0.00,0.00,3.85,0.00,3.85,0.00,3.85,15.38,15.38,3.85,7.69,3.85,15.38,7.69,3.85,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,11.54,0.00,0.00,0.00,0.00,19.23,0.00,7.69,3.85,3.85,0.00,3.85,3.85,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,15.38,3.85,3.85,7.69,0.00,0.00,0.00,15.38,0.00,11.54,0.00,11.54,0.00,7.69,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,10,"They carrot-and-stick you out several years, so that even when you'd do anything to quit, it feels financially irresponsible. They will get their money's worth out of you. There are no perks. Free coffee and tea in the kitchenette and $100 to spend at a set rate on qualified items on Amazon.com per year, and that's it.",60,34.14,90.87,23.51,57.28,15.00,10.00,83.33,56.67,18.33,10.00,0.00,0.00,5.00,0.00,5.00,8.33,3.33,15.00,8.33,6.67,10.00,1.67,15.00,1.67,0.00,1.67,1.67,1.67,1.67,1.67,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,3.33,1.67,0.00,0.00,1.67,0.00,0.00,1.67,0.00,0.00,1.67,5.00,0.00,0.00,0.00,5.00,5.00,0.00,3.33,0.00,1.67,0.00,0.00,10.00,1.67,15.00,0.00,10.00,5.00,3.33,1.67,1.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.33,8.33,5.00,0.00,0.00,0.00,0.00,3.33,0.00,5.00,0.00,1.67
26,09,"Ton of travel before covid. There is no work life balance. Managers and Leaders are ruthless, heartless monsters. I was given 18 KPIs in addition to customer calls. Blog/Content producing process is arduous, arcane and unprofessional. You keep your mouth shut to survive. Despite what the company says outside, internal processes are ridden with extreme racism.",57,84.03,80.98,19.27,6.35,8.14,35.09,75.44,38.60,7.02,5.26,1.75,0.00,3.51,0.00,0.00,1.75,1.75,14.04,8.77,1.75,3.51,1.75,17.54,5.26,1.75,1.75,1.75,1.75,1.75,0.00,1.75,0.00,1.75,0.00,10.53,0.00,0.00,0.00,0.00,3.51,0.00,1.75,0.00,0.00,0.00,1.75,1.75,0.00,1.75,0.00,3.51,1.75,1.75,0.00,0.00,7.02,0.00,5.26,3.51,0.00,0.00,3.51,14.04,0.00,12.28,3.51,7.02,1.75,10.53,3.51,0.00,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.30,12.28,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75
27,10,"-Poductivity is always the #1 priority, above safety especially during peak (Oct.-Dec.) or times of unusually high product volume (covid).
-It is impossible to feel like you matter or have real job security given how replaceable you are. I'm unsure of if this policy is company wide or has changed but i was told when i started that the bottom 5% of employees in terms of productivity are fired on a regular basis.",74,55.76,39.34,84.25,25.77,18.50,18.92,82.43,50.00,10.81,6.76,4.05,0.00,2.70,0.00,0.00,4.05,4.05,13.51,12.16,4.05,9.46,0.00,18.92,6.76,2.70,2.70,2.70,0.00,5.41,2.70,2.70,1.35,0.00,0.00,5.41,0.00,0.00,0.00,0.00,20.27,1.35,6.76,2.70,6.76,2.70,6.76,1.35,0.00,0.00,1.35,0.00,0.00,0.00,0.00,0.00,10.81,0.00,0.00,6.76,0.00,4.05,6.76,12.16,0.00,17.57,2.70,8.11,6.76,9.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.62,6.76,1.35,0.00,0.00,0.00,0.00,4.05,0.00,1.35,5.41,2.70
28,09,"people, over worked, disfunctional, very socially poor work environment",9,93.26,98.62,58.07,1.00,9.00,33.33,88.89,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.56,11.11,22.22,22.22,0.00,0.00,11.11,11.11,0.00,22.22,0.00,22.22,0.00,22.22,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,10,"- Compensation heavily relies on the growth of stock. Base salary is much lower than the majority of other companies but the stock compensates for that. If you like your position and team, it's probably worth resting and vesting for the 4 years
- They take frugality very seriously (being one of the LPs) and this gets a little frustrating at times - you know how well the company is doing and that the funds are there, but you have to justify hard for small work expenses you want compensated (anything under $50 rarely noticed but expenses over $100-150 taken more seriously). Especially during covid when you want to fit out your home office with basic needs (mouse, printer, shredder etc) - you have to buy a cheap mouse for e.g. because a good quality one one get approved. I mostly agree with being frugal, but certain things feel a little unnecessary",149,72.09,76.98,24.08,50.85,29.80,19.46,86.58,51.01,11.41,6.71,0.67,0.00,5.37,0.00,0.67,4.70,7.38,12.75,6.04,7.38,8.05,0.00,14.09,4.03,2.01,1.34,4.70,2.01,6.71,4.03,2.68,0.00,0.67,0.67,7.38,0.00,0.00,0.00,0.00,14.09,2.68,2.01,2.68,2.68,1.34,4.70,1.34,0.00,0.00,1.34,0.00,0.00,0.00,0.00,0.00,10.07,0.67,1.34,4.03,3.36,1.34,1.34,10.07,0.00,11.41,0.67,7.38,3.36,5.37,1.34,0.67,6.71,0.00,0.00,1.34,0.00,0.00,0.67,0.67,0.00,16.78,4.03,3.36,0.00,0.00,0.00,0.00,3.36,0.00,0.67,4.03,1.34
30,10,"Pay, took away ""hero pay"" 2 months into Covid-19, favoritism",11,99.00,50.00,85.21,99.00,11.00,9.09,63.64,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,18.18,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,27.27,0.00,18.18,9.09,18.18,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.45,0.00,18.18,0.00,0.00,0.00,0.00,9.09,18.18,0.00,0.00,0.00
