Source (A),Source (B),Source (C),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
11,12,Great work environment with lots of growth,7,99.00,50.00,89.63,99.00,7.00,14.29,100.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,14.29,0.00,14.29,0.00,0.00,14.29,0.00,28.57,14.29,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,11,"Pays well for what it is, pandemic-proof job, good benefits even for seasonal employees, flexible time off bank, overtime pays well, always trying to create sense of community for employees despite working from home, responsive and caring HR, great position for anyone who wants to work from home or is currently in school like myself, COVID leave is paid",60,93.26,50.00,32.84,99.00,60.00,21.67,95.00,43.33,8.33,1.67,1.67,0.00,0.00,0.00,0.00,6.67,0.00,21.67,5.00,5.00,3.33,0.00,15.00,3.33,1.67,3.33,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,15.00,1.67,1.67,1.67,5.00,3.33,3.33,3.33,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,16.67,1.67,6.67,3.33,5.00,0.00,1.67,11.67,1.67,13.33,1.67,5.00,6.67,20.00,0.00,3.33,8.33,0.00,0.00,3.33,0.00,0.00,0.00,3.33,0.00,15.00,0.00,13.33,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00
13,11,You will always have work,5,1.00,99.00,43.37,25.77,5.00,0.00,100.00,60.00,20.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,40.00,20.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,11,its all in the strength and abilities of the individual its a physical hard job.,15,99.00,74.76,1.00,99.00,15.00,26.67,100.00,53.33,13.33,0.00,0.00,0.00,0.00,0.00,0.00,13.33,20.00,13.33,0.00,0.00,6.67,0.00,0.00,13.33,0.00,0.00,0.00,6.67,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,6.67,6.67,0.00,6.67,0.00,0.00,13.33,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,11,"nice pay, time off if diagnosed with covid",8,99.00,10.58,99.00,99.00,8.00,12.50,87.50,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,12.50,0.00,12.50,12.50,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,12.50,12.50,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,12,"The managers and PAs are nice, my coworkers are also nice. Great benefits, low cost and great coverage. I got a 1 dollar pay raise within my first month of working and they really take covid precautions seriously. Overtime options are easy to get as long as you sign up for notifications. I have only worked for less than 3 months, yet I am eligible for a promotion (to afm)",70,71.84,33.41,62.17,98.56,14.00,17.14,85.71,48.57,10.00,10.00,7.14,0.00,1.43,0.00,1.43,0.00,4.29,15.71,7.14,7.14,8.57,0.00,14.29,12.86,5.71,0.00,4.29,1.43,11.43,8.57,2.86,0.00,0.00,1.43,4.29,0.00,0.00,0.00,0.00,4.29,0.00,0.00,0.00,1.43,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.57,0.00,5.71,4.29,10.00,0.00,2.86,10.00,0.00,12.86,0.00,7.14,5.71,11.43,0.00,0.00,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.86,5.71,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00
17,12,The job pays pretty good money and the people who work there are friendly and nice. They also offer a number of benefits for employees.,25,73.88,97.69,1.00,99.00,12.50,12.00,96.00,48.00,8.00,4.00,0.00,0.00,0.00,0.00,4.00,4.00,12.00,8.00,4.00,8.00,12.00,0.00,4.00,4.00,0.00,4.00,0.00,0.00,20.00,16.00,0.00,0.00,0.00,0.00,20.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,4.00,4.00,4.00,8.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,12,Okay medical benefits. A lot of the people I work with are nice. The day goes by quickly when its busy.,21,96.66,50.00,89.63,99.00,7.00,14.29,100.00,47.62,9.52,4.76,4.76,0.00,0.00,0.00,0.00,4.76,14.29,14.29,4.76,4.76,4.76,0.00,9.52,9.52,0.00,4.76,0.00,4.76,14.29,14.29,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,9.52,0.00,4.76,0.00,4.76,0.00,0.00,14.29,0.00,23.81,9.52,0.00,19.05,14.29,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,11,"40 hrs in 4 days is great, and they almost always have OverTime available, decent benefits especially for now-a-days FT gigs.  Their network is huge, so if one building isnt working out then you can transfer to another, also if you enjoying moving to different parts of the country can do that pretty easily too.  It's one of the biggest companys in the world.",66,40.71,56.02,70.57,99.00,22.00,21.21,84.85,54.55,10.61,6.06,0.00,0.00,3.03,0.00,3.03,4.55,6.06,12.12,12.12,9.09,9.09,1.52,12.12,4.55,3.03,0.00,6.06,1.52,9.09,9.09,0.00,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,12.12,0.00,0.00,3.03,6.06,3.03,6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.58,0.00,1.52,3.03,3.03,0.00,0.00,13.64,1.52,21.21,3.03,10.61,7.58,6.06,0.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.15,4.55,6.06,0.00,0.00,0.00,0.00,3.03,0.00,1.52,0.00,0.00
20,12,Company is rock solid and skyrocketing in growth worldwide. The job is important because it deals with employee safety as well as making sure the packages are one time to the customer.,32,89.84,62.28,7.84,99.00,16.00,25.00,87.50,46.88,3.12,0.00,0.00,0.00,0.00,0.00,0.00,3.12,9.38,15.62,9.38,3.12,12.50,0.00,12.50,6.25,6.25,0.00,3.12,0.00,12.50,12.50,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,9.38,0.00,6.25,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38,0.00,0.00,6.25,0.00,3.12,0.00,9.38,0.00,12.50,3.12,6.25,3.12,12.50,3.12,0.00,3.12,0.00,0.00,3.12,0.00,0.00,0.00,3.12,0.00,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,10,It’s great to have a job in covid,8,93.26,50.00,7.84,99.00,8.00,0.00,87.50,62.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,25.00,25.00,0.00,0.00,0.00,25.00,12.50,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,25.00,0.00,12.50,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00
22,10,Supportive management. Great team and environment. Good work life balance,10,78.30,84.14,3.37,99.00,3.33,40.00,90.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,30.00,30.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,50.00,10.00,20.00,10.00,20.00,0.00,0.00,10.00,0.00,10.00,0.00,10.00,0.00,30.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,10,"Big company, stability during pandemic times.",6,99.00,95.20,99.00,25.77,6.00,50.00,66.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,50.00,0.00,16.67,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,11,"Reliable job, no resume needed to apply and you get hired within 15 minutes online",15,84.62,74.76,1.00,25.77,15.00,13.33,73.33,33.33,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,13.33,0.00,0.00,6.67,6.67,20.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,6.67,6.67,0.00,13.33,6.67,0.00,13.33,0.00,6.67,6.67,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,10,"If you do good work, Amazon's compensation model makes sure you get paid accordingly. Perfect for type-As who are tired of getting paid the same as coworkers who are performing at a lower level. Also, the benefits/insurance coverage is unbeatable.",42,74.10,92.33,2.82,99.00,14.00,26.19,90.48,42.86,9.52,4.76,0.00,0.00,4.76,0.00,0.00,4.76,7.14,11.90,9.52,2.38,9.52,0.00,21.43,14.29,9.52,4.76,0.00,0.00,11.90,9.52,2.38,0.00,0.00,2.38,11.90,0.00,0.00,0.00,0.00,9.52,0.00,2.38,2.38,2.38,4.76,2.38,0.00,0.00,0.00,0.00,2.38,0.00,2.38,0.00,0.00,19.05,0.00,4.76,2.38,11.90,0.00,4.76,19.05,0.00,9.52,0.00,9.52,0.00,9.52,0.00,0.00,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.05,7.14,4.76,0.00,0.00,0.00,0.00,2.38,0.00,2.38,0.00,2.38
26,09,Self directed work. A ton of learning opportunities which is a double edged sword.,14,97.73,76.25,13.15,99.00,7.00,21.43,85.71,35.71,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,14.29,7.14,7.14,0.00,0.00,0.00,14.29,0.00,0.00,7.14,7.14,14.29,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,7.14,0.00,0.00,14.29,0.00,7.14,0.00,7.14,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,10,"-Good pay for no experience/qualifications 
-Career choice program can give you qualifications",13,65.46,93.79,1.40,99.00,13.00,30.77,100.00,30.77,7.69,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,15.38,0.00,0.00,0.00,0.00,0.00,38.46,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,7.69
28,09,"Pay, insurance, food, benefits, leave services, and paid time off",10,93.26,50.00,93.30,99.00,10.00,30.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,10.00,0.00,10.00,10.00,0.00,30.00,10.00,10.00,10.00,30.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,10,"- My team is very supportive 
- Flexible work hours, and time management focused on results rather than filling time quotas. 
- Can be self-directed
- Good stock options",26,54.88,35.01,83.83,99.00,13.00,30.77,88.46,34.62,3.85,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,7.69,11.54,7.69,3.85,0.00,7.69,7.69,3.85,0.00,0.00,0.00,11.54,11.54,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,15.38,0.00,3.85,3.85,3.85,0.00,7.69,3.85,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,15.38,3.85,7.69,3.85,3.85,0.00,0.00,15.38,0.00,19.23,0.00,7.69,11.54,15.38,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.92,3.85,3.85,0.00,0.00,0.00,0.00,19.23,0.00,0.00,0.00,0.00
30,10,"Exercise, benefits, overtime pay, very diverse workforce, an unimaginable amount of open doors to other job types and positions",19,93.26,29.92,50.35,97.58,19.00,36.84,78.95,31.58,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,10.53,0.00,5.26,5.26,0.00,5.26,0.00,0.00,0.00,0.00,5.26,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,15.79,0.00,15.79,0.00,21.05,5.26,5.26,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.05,0.00,21.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,09,"If you do good work, Amazon's compensation model makes sure you get paid accordingly. Perfect for type-As who are tired of getting paid the same as coworkers who are performing at a lower level. Also, the benefits/insurance coverage is unbeatable.",42,74.10,92.33,2.82,99.00,14.00,26.19,90.48,42.86,9.52,4.76,0.00,0.00,4.76,0.00,0.00,4.76,7.14,11.90,9.52,2.38,9.52,0.00,21.43,14.29,9.52,4.76,0.00,0.00,11.90,9.52,2.38,0.00,0.00,2.38,11.90,0.00,0.00,0.00,0.00,9.52,0.00,2.38,2.38,2.38,4.76,2.38,0.00,0.00,0.00,0.00,2.38,0.00,2.38,0.00,0.00,19.05,0.00,4.76,2.38,11.90,0.00,4.76,19.05,0.00,9.52,0.00,9.52,0.00,9.52,0.00,0.00,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.05,7.14,4.76,0.00,0.00,0.00,0.00,2.38,0.00,2.38,0.00,2.38
